,measurement,timestamp_pulse_id,imageid,separation_um,pixis_profile_avg_width,crop_px,shiftx_um,shiftx_um_range_0,shiftx_um_range_1,shiftx_um_do_fit,wavelength_nm,wavelength_nm_range_0,wavelength_nm_range_1,wavelength_nm_do_fit,z_mm,z_mm_range_0,z_mm_range_1,z_mm_do_fit,d_um,d_um_range_0,d_um_range_1,d_um_do_fit,gamma,gamma_range_0,gamma_range_1,gamma_do_fit,w1_um,w1_um_range_0,w1_um_range_1,w1_um_do_fit,w2_um,w2_um_range_0,w2_um_range_1,w2_um_do_fit,I_Airy1,I_Airy1_range_0,I_Airy1_range_1,I_Airy1_do_fit,I_Airy2,I_Airy2_range_0,I_Airy2_range_1,I_Airy2_do_fit,x1_um,x1_um_range_0,x1_um_range_1,x1_um_do_fit,x2_um,x2_um_range_0,x2_um_range_1,x2_um_do_fit,normfactor,normfactor_range_0,normfactor_range_1,normfactor_do_fit,mod_sigma_um,mod_sigma_um_range_0,mod_sigma_um_range_1,mod_sigma_um_do_fit,mod_shiftx_um,mod_shiftx_um_range_0,mod_shiftx_um_range_1,mod_shiftx_um_do_fit,shiftx_um_fit,wavelength_nm_fit,z_mm_fit,d_um_fit,d_um_at_detector,gamma_fit,w1_um_fit,w2_um_fit,I_Airy1_fit,I_Airy2_fit,x1_um_fit,x2_um_fit,chi2distance_fitting,mod_sigma_um_fit,mod_shiftx_um_fit,gamma_fit_v2,xi_um_fit_v2,xi_um_fit
0,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027980,47,322.0,200.0,,390.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,384.5471462125943,7.993001455554388,,,3079.555436671387,0.8537466347837092,11.056435669884165,10.94016288597123,1.0,1.173378000007382,-1764.2805106686317,1315.2749260027554,0.0280021261676352,10577.25713072583,3257.6390336120458,0.8142007981801672,502.2083956621163,572.5934278450048
1,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027060,25,322.0,200.0,,390.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,385.8435218519419,7.959217214724188,,,3056.100104602968,0.809553665061448,10.922759385805543,10.90130086017923,1.0,1.140103205048146,-1715.4931342720838,1340.6069703308835,0.0501722354153202,7057.454593146351,2741.3959183455954,0.7507257041115026,425.2219904173687,495.3585713733239
2,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026120,3,322.0,200.0,,403.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,403.9163015818135,7.963546408411168,,,3107.4371694534334,0.9228838327967808,11.155836617371795,10.854812065876631,1.0,1.329569242454491,-1780.1371389925423,1327.3000304608909,0.0327943315046296,14117.721144992936,9999.997126502463,0.7181210081546812,395.68538595918926,803.7355597310685
3,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026140,4,322.0,200.0,,117.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,122.069739344666,7.95009208975927,,,3125.1549090533645,0.9392299944083068,11.15601610184866,10.846123001360075,1.0,1.284580103218201,-1520.8337318031718,1604.321177250193,0.0480783714635699,16714.979876130383,9999.99959003313,0.7853264133512101,463.1719297306771,909.336841239817
4,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027020,23,322.0,200.0,,689.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,684.5641375637488,7.964227456824598,,,3138.625066112568,0.9617681309060028,11.10685123642438,10.856259093545912,1.0,1.9024550337628008,-2100.880348058467,1037.7447180541012,0.0182169424109479,16972.51985966487,9999.999850474804,0.8085174998492204,493.86392078334944,1153.2127967142535
5,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027600,40,322.0,200.0,,117.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,114.23423693422,7.949694368363081,,,3104.903767557804,0.8437536767634891,11.077891321194452,10.90697965639909,1.0,1.1373082859488888,-1474.401319188711,1630.502448369092,0.0372145956330659,9914.608164592088,6359.411947513554,0.686874658595989,371.5147723039125,552.3965850014987
6,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026980,21,322.0,200.0,,403.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,404.1717880729116,7.954753773839931,,,3122.899072095991,0.7797671952060397,11.169627923400869,10.828858347095988,1.0,1.4609060339427606,-1796.5273860498514,1326.3716860461393,0.0327707273340151,8900.859986712741,3702.968331221861,0.7151251522091235,393.2109269106644,456.5104379081205
7,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028000,48,322.0,200.0,,104.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,107.65575624340543,7.974708924464085,,,3125.724509797042,0.8032216123571652,11.06947528831368,10.871943531036134,1.0,1.3263430203197712,-1489.907098831011,1635.8174109660313,0.0191994825695353,10439.01259538764,1919.7740003407523,0.789753091375467,468.6544442372478,486.4019230617533
8,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027580,39,322.0,200.0,,390.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,387.98151601554014,7.972631445465343,,,3101.152144043598,0.8403834995489663,11.027169863918274,10.876625346086213,1.0,1.372296719490491,-1748.184533372155,1352.9676106714428,0.0171088503673507,19359.3300397048,7138.359389512421,0.785152172822705,462.9594276684708,546.0028361235245
9,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027860,41,322.0,200.0,,962.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,964.3767348786504,7.947111463850003,,,3086.670553360485,0.9292387075377192,11.059968787515984,10.9346519073898,1.0,1.3170516241043229,-2306.165556640177,780.5049967203084,0.0550375091502183,14084.599751616954,9992.348834181554,0.7224906781223245,399.36065878135616,840.4725775875053
10,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028040,50,322.0,200.0,,962.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,958.7750288936536,7.94660266272793,,,3063.2874290431027,0.9214129165330552,10.955571150789792,10.885371005573996,1.0,1.6330567782750731,-2294.4377702690863,768.8496587740162,0.0306959841392605,14726.522163283666,8414.959226233073,0.7826225952333863,459.901743933568,795.8651160517152
11,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027160,30,322.0,200.0,,676.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,674.315740510865,7.963953371790846,,,3073.114627542888,0.8258129345738254,10.985885107332797,10.882811340456582,1.0,1.2954431203024412,-2005.2414047631123,1067.8732227797757,0.0329593124571171,9914.872507928883,4981.190038719788,0.7279027979642558,404.0257047548328,520.4567596570912
12,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027940,45,322.0,200.0,,689.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,687.0173249250029,7.946197225885664,,,3116.494387198464,0.9398772986495904,11.114253790336765,10.855778855209891,1.0,1.4356996072617685,-2069.306307577317,1047.1880796211462,0.0267282648524759,13039.807522754683,8657.372285066784,0.7539720525707694,428.4582850900634,914.3747114713656
13,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026180,6,322.0,200.0,,260.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,258.5473829906216,7.952353845451882,,,3118.9401609301176,0.8482371377136001,11.101262158635487,10.86352555821492,1.0,1.3970802860069098,-1647.9639185512033,1470.9762423789143,0.0243457863770481,11782.12889360285,5211.558913392697,0.7691864963093703,444.4684120610699,561.2191783552884
14,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026620,16,322.0,200.0,,390.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,392.0498777214982,7.95348104489377,,,3082.563518494172,0.7934152370597591,10.95303075028032,10.940888948698731,1.0,1.263709874509817,-1729.2530371835555,1353.3104813106163,0.0433203994454613,11509.074893192112,4539.743640724577,0.7340313117238012,409.4667189090423,473.3159699010375
15,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026260,10,322.0,200.0,,377.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,378.52113861825615,7.966012612489757,,,3003.379815712509,0.8301829119225798,10.833791944659124,10.83642120446425,1.0,1.4180258004981698,-1704.7074624576676,1298.6723532548413,0.0562483376344827,7152.423457287196,2199.942772401904,0.7918272967745469,471.28032724266177,527.7848523330952
16,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026560,13,322.0,200.0,,533.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,533.352378022418,7.95373939124025,,,3083.820184090564,0.8166696299790177,10.956815907010338,10.914649100784924,1.0,1.4708459948519073,-1881.7503342512607,1202.0698498393026,0.0355484941697336,14378.526702260946,5671.71850284838,0.7555426717898958,430.04568345059886,505.94840720711954
17,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027520,36,322.0,200.0,,117.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,120.84750938740876,7.952955466857471,,,3127.0878128548125,0.9999999755594025,11.18951629793243,10.83349540497023,1.0,1.41971412162723,-1520.842064477983,1606.2457483768294,0.0395439958260189,12268.257488178277,9154.998110232516,0.756968939886375,431.4996781263952,1456414.3904073308
18,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027960,46,322.0,200.0,,663.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,666.0377884783143,7.959975677788925,,,3012.3750218435944,0.7775316753982311,10.831484867192689,10.904110447149524,1.0,1.4311144873438424,-1981.6815025485373,1030.6935192950566,0.0913717152220661,13310.56872970766,4517.451104438114,0.7340169925872194,409.45380285021696,453.8986511048446
19,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027920,44,322.0,200.0,,117.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,115.25825630060352,7.955319694837371,,,3113.3009844530143,0.8124339501357001,11.10352704820029,10.8561422229495,1.0,1.4975237388093616,-1500.5635378403297,1612.7374466126846,0.0222222626589438,9279.092716282772,3442.070135869959,0.7584167522115367,432.9879809433273,499.5753792215488
20,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548028020,49,322.0,200.0,,91.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,97.02913046131448,7.960912321650257,,,3041.980071548289,0.7916658958619991,10.92155096757402,10.8445116482796,1.0,1.3259314875777446,-1416.1694493024772,1625.8106222458116,0.0582003390745285,10721.519534555164,3811.176932784752,0.7431961798028637,417.9385332329315,471.0746616635222
21,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027040,24,322.0,200.0,,-26.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,-32.07824309405714,7.962091780542029,,,3110.4492207319427,0.8726611152408196,11.052484478751245,10.9113347312106,1.0,1.133055293050357,-1335.79152175572,1774.6576989762227,0.0312996350457436,22601.85211237077,9999.972784167128,0.7912947569967669,470.6025979492337,616.9352615645191
22,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026520,11,322.0,200.0,,260.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,256.4874296664916,7.949873931574351,,,3119.3268960574032,0.8592532972885575,10.989892104865865,10.863049620937382,1.0,1.246145838811646,-1636.6880992451229,1482.6387968122806,0.0459536893890974,23632.62686551301,9999.989145333482,0.7856713705937939,463.5933613034283,584.6018884243935
23,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026660,18,322.0,200.0,,104.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,99.97379083046576,7.981121218749253,,,3033.231407847972,0.8237073545820975,10.904200319000983,10.818575744747918,1.0,1.3701102681602353,-1437.4112267939497,1595.8201810540222,0.026620755964782,7823.165448240245,2541.846058452184,0.7813562352478236,458.3899441636249,517.019850953908
24,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026160,5,322.0,200.0,,117.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,113.86548805491134,7.950452154540651,,,3125.626382778092,0.8909980490815663,11.026607056043272,10.879445315866873,1.0,1.0438414858530896,-1493.392698994529,1632.2336837835635,0.0450495162315508,18090.50414386028,9999.413937165937,0.7647732508100713,439.6742241714289,670.2139012466185
25,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548026200,7,322.0,200.0,,377.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,379.2937018056828,7.955904580807885,,,3043.0152795839413,0.8667296569779168,10.944104998084638,10.93168864276499,1.0,1.1043215623027351,-1712.362615997523,1330.6526635864182,0.0479847945371085,19953.2936760867,9999.98490805821,0.7644385266968272,439.3157983167873,602.0465752042126
26,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027440,32,322.0,200.0,,533.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,532.5396019867765,7.98453675434128,,,3101.91697476062,0.8562753347641902,11.09514943665949,10.861973127470964,1.0,1.8344247407329,-1911.425011743839,1190.49196301678,0.0101459290132252,10854.532943538768,4032.850442217356,0.7991690128731116,480.88331079672525,578.0246608576313
27,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027480,34,322.0,200.0,,130.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,124.81353217790206,7.967340012797226,,,3138.972232086595,0.9465663396679226,11.204909183942702,10.775204422615683,1.0,1.3976364395620309,-1536.9528720231287,1602.0193600634664,0.0530968349691621,14220.835234614276,9999.999983757143,0.7392236064223836,414.215272477228,971.6245038523084
28,2017-11-27T1529 8.0nm 45uJ 12Und. KOAS=PMMA 0322um (4a) ap5=7.0 ap7=50.0 (bg3cd) ap5=7.0 ap7=50.0,1548027500,35,322.0,200.0,,390.0,-1500.0,1500.0,True,8.0,7.9,8.1,True,5781.0,5770.0,5790.0,False,322.0,50.0,1337.0,False,0.8,0.01,1.0,True,11.0,8.0,15.0,True,11.0,8.0,15.0,True,1.0,0.2,1.5,False,0.8,0.2,5.5,True,-1610.0,-2610.0,0.0,True,1610.0,0.0,2610.0,True,1.0,0.1,1.5,False,3000.0,1500.0,100000.0,True,3000.0,-10000.0,10000.0,True,386.9472822899356,7.95204065635982,,,3062.1008697463167,0.8913510580143237,10.920937638026558,10.936798468643527,1.0,1.3658579276438352,-1725.1938509665688,1336.9070187797477,0.0710325045364834,17698.913584951348,9999.999771361096,0.7598508986533853,434.4746810617176,671.3670123782562
